"Year","Month","Day","Temperature","Relative_humidity","Wind_direction","Wind_speed","Gust_speed","Precipitation","PAR","Date"
2020,4,5,65.4611597222222,86.4427083333333,135.113194444444,1.62951388888889,4.490625,0,472.519444444444,"4/5/2020"
2020,4,6,68.1571875,84.6930555555556,131.292361111111,1.06527777777778,3.40854166666667,0,242.050694444444,"4/6/2020"
2020,4,7,73.1727118055556,89.5802083333333,204.85,3.40402777777778,7.97753472222222,0,256.443055555556,"4/7/2020"
2020,4,8,76.3502083333333,89.7711805555556,219.199305555556,4.75246527777778,9.93163194444444,0,355.661805555556,"4/8/2020"
2020,4,9,70.7660173611111,73.6555555555556,108.228819444444,6.51545138888889,11.7779861111111,0,399.585416666667,"4/9/2020"
2020,4,10,58.5070208333333,56.6923611111111,80.053125,4.47611111111111,9.14777777777778,0,458.3875,"4/10/2020"
2020,4,11,58.3241006944444,72.4086805555555,111.368402777778,2.23479166666667,5.3546875,0.08,376.894444444444,"4/11/2020"
2020,4,12,66.1596215277778,89.0256944444444,197.469097222222,4.72479166666667,10.2314930555556,2.712,271.477777777778,"4/12/2020"
2020,4,13,50.01034375,79.6232638888889,173.881597222222,4.91131944444444,11.1715625,0,305.644444444444,"4/13/2020"
2020,4,14,48.5494201388889,71.1083333333333,51.8190972222222,5.42069444444444,11.2663541666667,0,544.828472222222,"4/14/2020"
2020,4,15,51.4903854166667,61.9107638888889,74.5395833333333,1.96652777777778,5.53159722222222,0,582.241666666667,"4/15/2020"
2020,4,16,57.8766319444444,51.7048611111111,126.067013888889,3.04972222222222,7.04163194444444,0,583.647916666667,"4/16/2020"
2020,4,17,62.7369340277778,79.1319444444444,215.136458333333,2.58326388888889,6.95291666666667,0.184,310.765972222222,"4/17/2020"
2020,4,18,56.9698958333333,83.3548611111111,90.8954861111111,5.04826388888889,9.96982638888889,0.662,456.04375,"4/18/2020"
2020,4,19,59.4849965277778,98.096875,122.240972222222,2.19597222222222,5.53083333333333,0.406,59.1166666666667,"4/19/2020"
2020,4,20,62.5771354166667,85.6479166666667,129.598263888889,1.14416666666667,3.91291666666667,0,485.609722222222,"4/20/2020"
2020,4,21,68.1318784722222,73.4715277777778,147.720138888889,1.43701388888889,3.84875,0,582.623611111111,"4/21/2020"
2020,4,22,64.0152083333333,86.7274305555556,111.491666666667,6.37854166666667,12.4746180555556,5.034,118.491666666667,"4/22/2020"
2020,4,23,66.0013617021277,85.2196808510638,265.857978723404,5.90484042553191,10.7234574468085,0.008,390.056382978723,"4/23/2020"
2020,4,24,67.6672986111111,77.0152777777778,160.408333333333,3.57694444444444,7.694375,0.536,495.193055555556,"4/24/2020"
2020,4,25,64.4913819444444,75.2493055555556,271.236111111111,4.99965277777778,10.0693055555556,0.008,555.575,"4/25/2020"
2020,4,26,67.5899722222222,56.25,269.4875,2.57458333333333,6.02152777777778,0,573.3875,"4/26/2020"
2020,4,27,67.4060694444444,59.5236111111111,137.6,3.19375,8.080625,0,539.429166666667,"4/27/2020"
2020,4,28,66.2908611111111,85.0875,165.442361111111,3.04451388888889,8.46465277777778,0.262,182.241666666667,"4/28/2020"
2020,4,29,64.9459375,69.0555555555556,265.300694444444,6.501875,13.1838194444444,1.038,522.050694444445,"4/29/2020"
2020,4,30,64.8220972222222,57.7319444444444,286.6375,4.04180555555556,8.42291666666667,0,617.467361111111,"4/30/2020"
2020,5,1,69.2561319444444,61.8638888888889,204.309027777778,2.32708333333333,5.99333333333333,0,602.484722222222,"5/1/2020"
2020,5,2,72.2853958333333,72.9069444444444,191.799305555556,3.64354166666667,9.12701388888889,0,614.568055555556,"5/2/2020"
2020,5,3,74.4381180555555,77.2923611111111,201.526388888889,3.65868055555556,8.88194444444444,0,601.825,"5/3/2020"
2020,5,4,75.0971388888889,77.7506944444444,203.338194444444,3.77409722222222,9.09159722222222,0,605.922222222222,"5/4/2020"
2020,5,5,71.050625,80.3034722222222,251.25,3.83479166666667,8.280625,0.016,272.172222222222,"5/5/2020"
2020,5,6,66.617875,54.0833333333333,208.325,3.40506944444444,7.35409722222222,0,622.884027777778,"5/6/2020"
2020,5,7,65.026625,64.5027777777778,122.996527777778,3.84340277777778,7.89763888888889,0,541.5125,"5/7/2020"
2020,5,8,65.7642986111111,79.4291666666667,146.640277777778,7.22104166666667,14.3407638888889,1.012,286.321527777778,"5/8/2020"
2020,5,9,58.2465555555556,72.69375,72.9173611111111,5.1025,9.07631944444444,0,548.456944444445,"5/9/2020"
2020,5,10,61.4235277777778,67.7333333333333,103.969444444444,1.59993055555556,4.09173611111111,0,632.866666666667,"5/10/2020"
2020,5,11,64.4463125,60.6069444444444,92.6659722222222,5.08666666666667,9.20041666666667,0,623.352777777778,"5/11/2020"
2020,5,12,66.5747291666667,69.1381944444445,121.618055555556,4.41833333333333,8.45319444444444,0,413.54375,"5/12/2020"
2020,5,13,71.2737777777778,80.7527777777778,144.995833333333,3.28361111111111,7.72708333333333,0,387.884027777778,"5/13/2020"
2020,5,14,74.2668958333333,83.8604166666667,147.473611111111,4.22805555555556,9.68472222222222,0,433.769444444444,"5/14/2020"
2020,5,15,74.3632986111111,83.9041666666667,132.115972222222,3.28819444444444,7.60611111111111,0.472,417.015972222222,"5/15/2020"
2020,5,16,71.3195486111111,93.55625,123.723611111111,5.31388888888889,10.47875,0.977,194.863194444444,"5/16/2020"
2020,5,17,69.1572569444444,92.7847222222222,229.549305555556,4.54638888888889,10.1177777777778,0.269,232.363194444444,"5/17/2020"
2020,5,18,70.9355833333333,69.3638888888889,290.8,5.00465277777778,9.72729166666667,0,651.755555555556,"5/18/2020"
2020,5,19,71.3592916666667,70.3319444444444,87.6034722222222,4.91527777777778,9.50569444444444,0,598.23125,"5/19/2020"
2020,5,20,69.5811319444445,73.3583333333333,116.677083333333,4.14111111111111,7.67763888888889,0,391.911805555556,"5/20/2020"
